created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-18 23:59:30,amin_owaisi,"RT @sardesairajdeep: My top story: Bridges collapse under flood waters in Bihar; more than 300 killed between Bihar, Bengal and UP.. shocki…",,,Medina Munawara &hyderabad,#,
2017-08-18 23:56:15,ullash1996,RT @yasinarafath: #Shibir distribute relief among the #Flood affected people in NorthBengal of #Bangladesh. https://t.co/jpoWrwDkIs,,,,RT| Flood| NorthBengal,"[37.2923509, -78.73277999999999][26.7183359, 88.43257729999999]"
2017-08-18 23:55:19,stephengroves,RT @arpanshr: Nepal government decides to give flood survivors Rs 70 ($0.68) a day for a month. What exactly can that buy in the affected a…,,,Nepal,RT,
2017-08-18 23:52:09,mithu796311,"RT @airnewsalerts: #Assam: Flood situation improves; 10,000 people leaves relief camp.",,,मरणोपरांत  ॐ,RT,
2017-08-18 23:52:04,newspatrolling,Bihar flood toll rises to 153 (Lead) https://t.co/w88VORblJM on @bloglovin,,,"Delhi, India",Bihar,"[25.0960742, 85.31311939999999]"
2017-08-18 23:49:50,kaynyk,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,Milky Way,RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 23:47:14,theassamtribune,Tripura to seek Centre's help for flood victims - Assam Tribune https://t.co/MyG9dQPhh4,,,"Guwahati,Assam,India",Tripura| Centre| Assam Tribune,"[23.9408482, 91.9881527][32.8374242, -96.77724909999999][27.4684518, 94.9019129]"
2017-08-18 23:44:54,Violetcatlover,RT @Narendraphoto: The last picture of a man with cattle is from recent flood from Nepal taken by me! Would you please correct @taslimanasr…,,,,RT| Nepal,"[28.394857, 84.12400799999999]"
2017-08-18 23:44:49,gagansengar1,"RT @TOIIndiaNews: Death toll rises to 170 in flood-hit Bihar, UP https://t.co/koA5XjQSuy",,,"New Delhi, Delhi",RT| UP,"[26.8467088, 80.9461592]"
2017-08-18 23:37:04,raj2jas,RT @iamnarendranath: Top priority of state which facing serious flood and epidemic. https://t.co/3QGy3VA3J2,,,Lucknow,RT,
2017-08-18 23:34:54,Kalee_soccer,"@obaidulquader Pls talk less, go around the country, help flood affected ppl. Ask why mogbazar flyover isn't comple… https://t.co/wfGEXNAc31",,,Dhaka,Ask,"[40.7371089, -73.987892]"
2017-08-18 23:34:25,_raja_babu,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,"Chhapra, Bihar, India",RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 23:30:25,Neerajs90108892,Flood destroy Nepal https://t.co/7s4y0tVu7I,,,"Nepal, Kathmandu",Flood,"[37.2923509, -78.73277999999999]"
2017-08-18 23:30:18,Amankum07670639,RT @timesofindia: Flood fury: Toll climbs to 153 in Bihar; Army called in for rescue operations in UP https://t.co/9eN7c6Q7L1 https://t.co/…,,,Yamuna nagar,RT| Bihar| Army| UP,"[25.0960742, 85.31311939999999][40.2787639, -96.7472875][26.8467088, 80.9461592]"
2017-08-18 23:29:51,Shuklaism,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,"Bengaluru, Karnataka",RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 23:29:05,Amankum07670639,"RT @deshbhakt_129: Many Muslim's in Bihari,India have been affected by flood.Can we help them by donating money of one quarbani to them?It…",,,Yamuna nagar,RT| Muslim| Bihari| India,"[34.1005937, -118.3308387][25.0960742, 85.31311939999999][20.593684, 78.96288]"
2017-08-18 23:28:54,Satyarthhi,"RT @TOIIndiaNews: Death toll rises to 170 in flood-hit Bihar, UP https://t.co/koA5XjQSuy",,,,RT| UP,"[26.8467088, 80.9461592]"
2017-08-18 23:27:23,airnewsalerts,"#Assam: Flood situation improves; 10,000 people leaves relief camp.",,,"New Delhi, India",,[]
2017-08-18 23:27:08,sundarsoumya,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,Washington DC,RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 23:26:40,ssrimel7,More than one and a half million people affected by floods! allah save us from this flood: https://t.co/BeuRfeHzo2 via @YouTube,,,Bangladesh,,[]
2017-08-18 23:26:26,Amankum07670639,"RT @anandrai177: Tomorrow (Saturday 19 Aug), there's a call for protest at Bihar Bhawan at 1pm against govt neglect of flood affected peopl…",,,Yamuna nagar,RT| Bihar Bhawan,"[28.600328, 77.197058]"
2017-08-18 23:25:03,bombayinformer,"Death toll rises to 170 in flood-hit Bihar, UP https://t.co/k6QnKs9Ocj https://t.co/MMZmieDeoS",,,Bombay,Death,"[40.7259347, -73.98463480000001]"
2017-08-18 23:22:44,ParaRjs,RT @iamnarendranath: Top priority of state which facing serious flood and epidemic. https://t.co/3QGy3VA3J2,,,,RT,
2017-08-18 23:21:28,natashachauhan,"RT @TOIIndiaNews: Death toll rises to 170 in flood-hit Bihar, UP https://t.co/koA5XjQSuy",,,"नई दिल्ली, भारत (India)",RT| UP,"[26.8467088, 80.9461592]"
2017-08-18 23:20:00,TOIIndiaNews,"Death toll rises to 170 in flood-hit Bihar, UP https://t.co/koA5XjQSuy",,,"New Delhi, India",Death| UP,"[40.7259347, -73.98463480000001][26.8467088, 80.9461592]"
2017-08-18 23:17:24,Saileshroy2C,"Like the real leader indeed. Thanks. 
Flood is also badly affected in West Bengal and Bangladesh. https://t.co/E76DUxBrn7",,,"Navi Mumbai, India",Flood| West Bengal| Bangladesh,"[37.2923509, -78.73277999999999][22.9867569, 87.8549755][23.684994, 90.356331]"
2017-08-18 23:16:40,expectsuccess,"RT @timesofindia: 119 NDRF teams rescued 1334 people, evacuated 35000 people &amp; 142 livestock from flood affected areas of Assam, Bihar &amp; UP…",,,"Los Angeles, CA",RT| Assam| Bihar,"[26.2006043, 92.9375739][25.0960742, 85.31311939999999]"
2017-08-18 23:15:27,manishkbaid,"Uttar Pradesh Villagers, Upset With Yogi Adityanath, Protest In Neck-Deep Water https://t.co/AQSkaGRFgX",,,"Gurgaon, India",Uttar Pradesh Villagers| Upset With Yogi Adityanath,"[29.3039187, 77.725178][]"
2017-08-18 23:11:13,DrSunilAgarwala,Will there be a permanent or partial solution for flood ever??? https://t.co/NDoAMVr6dE,,,Gurgaon,,[]
2017-08-18 23:08:08,pranovirat,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,Интернет,RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 23:06:03,JaiswalPraveer,RT @parthasakhadas: @SuPriyoBabul Yeah and flood affected people dying there without foods and clean water..waah re waah.,,,"Basti, Utter Pradesh,India ",RT| SuPriyoBabul Yeah,[]
2017-08-18 23:05:00,rajivnayan7,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,भारत माता की जय,RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 23:01:15,rupakj,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,Singapore,RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 22:56:18,Muhammad5402,"RT @yasinarafath: ""Please stand with the #flood affected people of #Bangladesh""
#KnowShibir https://t.co/CcPRa6JPiZ",,,Karachi,RT| KnowShibir,[]
2017-08-18 22:55:16,CitizenBLR301,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,Bangalore,RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 22:53:59,MODIfyingBHARAT,"RT @NITIAayog: #ChampionsOfChange Day 1: RECAP Fin Min @arunjaitley, NITI VC Dr.@APanagariya &amp; CEO @amitabhk87, Secys of Govt of India answ…",,,"Mumbai, India",RT| RECAP Fin Min| NITI VC| CEO| India,"[][28.641485, 77.3713856][41.2455795, -75.8831814][20.593684, 78.96288]"
2017-08-18 22:52:46,HosenMDildar,RT @yasinarafath: #Shibir distribute relief among the #Flood affected people in NorthBengal of #Bangladesh. https://t.co/jpoWrwDkIs,,,"Chittagong, Bangladesh",RT| Flood| NorthBengal,"[37.2923509, -78.73277999999999][26.7183359, 88.43257729999999]"
2017-08-18 22:47:44,skg31skg,"RT @sardesairajdeep: My top story: Bridges collapse under flood waters in Bihar; more than 300 killed between Bihar, Bengal and UP.. shocki…",,,,#,
2017-08-18 22:46:15,SridharPaladugu,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,,RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 22:45:48,skg31skg,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,,RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 22:44:17,skg31skg,RT @ashu3page: New Anti India propaganda being spread in Nepal - Embankment made by India on rivers in east UP &amp; Bihar caused flood in Nepa…,,,,RT| Nepal| India| Bihar,"[28.394857, 84.12400799999999][20.593684, 78.96288][25.0960742, 85.31311939999999]"
2017-08-18 22:43:55,gj23x6948,"RT @deshbhakt_129: Many Muslim's in Bihari,India have been affected by flood.Can we help them by donating money of one quarbani to them?It…",,,"Gujarat, India",RT| Muslim| Bihari| India,"[34.1005937, -118.3308387][25.0960742, 85.31311939999999][20.593684, 78.96288]"
2017-08-18 22:39:46,HosenMDildar,RT @Arefeenik: #Bangladesh flood situation still getting worse. Millions affected and thousands are displaced mainly in northern part of th…,,,"Chittagong, Bangladesh",RT| Millions,"[39.1281689, -84.4300019]"
2017-08-18 22:38:15,danyspeaks,RT @78_deependra: Nation is suffering from children's death &amp;flood youth r loosing jobs and Arnab is busy on hindu &amp; muslim.this is a move…,,,"Mumbai, India",RT| Arnab,"[29.9621445, -90.1458689]"
2017-08-18 22:36:53,dhakainformer,AL central leaders visiting flood-hit areas in north – Dhaka Tribune https://t.co/oWcwHXUL8C,,,Dhaka,,[]
2017-08-18 22:34:33,jasmvk,"RT @deshbhakt_129: Many Muslim's in Bihari,India have been affected by flood.Can we help them by donating money of one quarbani to them?It…",,,,RT| Muslim| Bihari| India,"[34.1005937, -118.3308387][25.0960742, 85.31311939999999][20.593684, 78.96288]"
2017-08-18 22:30:40,theassamtribune,Tripura to seek Centre's help for flood victims - Assam Tribune https://t.co/1DFGDF0RrQ,,,"Guwahati,Assam,India",Tripura| Centre| Assam Tribune,"[23.9408482, 91.9881527][32.8374242, -96.77724909999999][27.4684518, 94.9019129]"
2017-08-18 22:30:35,iffah_hizka,RT @dailystarnews: Over 4 million people marooned as flood inundates 35 percent of #Bangladesh https://t.co/tayppbjyUG,,,Indonesia,RT,
2017-08-18 22:29:39,Muhammad5402,RT @yasinarafath: a monitoring cell was formed to monitor and supervise the flood relief activities in flood affected areas. While... https…,,,Karachi,#,
2017-08-18 22:29:09,Muhammad5402,"RT @info_shibir: ""Please stand with the flood affected people of BD""
#Shibir distribute relief among the #Flood affected people in NorthBen…",,,Karachi,RT| Flood,"[37.2923509, -78.73277999999999]"
2017-08-18 22:28:59,impressionsAS,RT @iamnarendranath: Top priority of state which facing serious flood and epidemic. https://t.co/3QGy3VA3J2,,,,RT,
2017-08-18 22:23:24,YashKVerm,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,,RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 22:22:58,queeryon,"RT @IndianExpress: Bihar disaster management department official said over 16 districts have been affected by the flood.

https://t.co/wMt3…",,,,#,
2017-08-18 22:21:53,DattShashi,RT @dharammegha: Let the stress fall away and allow peace to flood your mind. As you learn to relax you’ll start to feel more confident. ht…,,,sydneyAustralia,#,
2017-08-18 22:06:45,mamuni_ishita,"RT @anandrai177: Tomorrow (Saturday 19 Aug), there's a call for protest at Bihar Bhawan at 1pm against govt neglect of flood affected peopl…",,,"Dhaka, Bangladesh",RT| Bihar Bhawan,"[28.600328, 77.197058]"
2017-08-18 22:05:30,malek_talukder,RT @obaidulquader: Dinajpur Seriously Effected severe Flood 18-08-2017 https://t.co/81l2vL0A5T,,,"Dhaka, Bangladesh",RT,
2017-08-18 22:04:42,mamuni_ishita,"RT @sardesairajdeep: My top story: Bridges collapse under flood waters in Bihar; more than 300 killed between Bihar, Bengal and UP.. shocki…",,,"Dhaka, Bangladesh",#,
2017-08-18 22:03:29,Aline_Carr,RT @NewsWorldIN: #Bihar: Army continues to rescue stranded people in flood hit Katihar district #floods #Army #Rains #BiharFloods https://t…,,,New Mexico,RT| Army| Katihar| BiharFloods,NA
2017-08-18 22:03:26,Silchar_Com,Tripura to seek Centres help for flood victims https://t.co/RWESZS9J4h #silchar #news,,,"Silchar, India",Tripura,"[23.9408482, 91.9881527]"
2017-08-18 22:02:47,Silchar_Com,Slight improvement in State flood scene https://t.co/BsW109LeWW #silchar #news,,,"Silchar, India",Slight| State,"[39.657942, -79.97169][35.2985959, -80.74074209999999]"
2017-08-18 22:01:29,Silchar_Com,Flood scene in Doomdooma circle improving https://t.co/B0FeXKxf48 #silchar #news,,,"Silchar, India",Flood| Doomdooma,"[37.2923509, -78.73277999999999][27.5664171, 95.55516519999999]"
2017-08-18 22:01:16,Silchar_Com,"85,000 people affected by flood in Jonai https://t.co/wi9j2zvbPJ #silchar #news",,,"Silchar, India",Jonai,"[27.8322761, 95.2214477]"
2017-08-18 22:01:09,Silchar_Com,Flood shatters livelihood activities of rural women entreprenuers https://t.co/n5Dqn5W7K8 #silchar #news,,,"Silchar, India",Flood,"[37.2923509, -78.73277999999999]"
2017-08-18 22:01:03,Silchar_Com,Governor visits flood-hit Modonabori village https://t.co/gpIOC8JhaZ #silchar #news,,,"Silchar, India",,[]
2017-08-18 22:00:37,shivashaktam,"RT @BharatSevashram: @bharatsevashram is conducting relief camps in flood affected parts of Assam, Nagaland, Odisha and Chhattisgarh. https…",,,Akhand Bharat,#,
2017-08-18 22:00:02,IMA_Indian,"RT @sardesairajdeep: My top story: Bridges collapse under flood waters in Bihar; more than 300 killed between Bihar, Bengal and UP.. shocki…",,,India & GCC,#,
2017-08-18 21:59:50,Shyam_1978,@ZeeNews @queenhazarika I have some perfect idea to flood management (sustainable way). But I am not a politician nor a reputed contractor.,,,"Aizawl, India",ZeeNews,"[31.632655, 74.8734729]"
2017-08-18 21:59:44,indian00777,"@Shehla_Rashid Why at Bihar Bhavan, if u guys care about flood victims then catch next train available to Bihar n h… https://t.co/EWokVlK2aX",,,"New Delhi, India",Bihar Bhavan| Bihar,"[28.600328, 77.197058][25.0960742, 85.31311939999999]"
2017-08-18 21:58:44,javeedali83,"RT @sardesairajdeep: My top story: Bridges collapse under flood waters in Bihar; more than 300 killed between Bihar, Bengal and UP.. shocki…",,,,#,
2017-08-18 21:54:55,HumanityRoad,RT @NewsWorldIN: #Bihar: Army continues to rescue stranded people in flood hit Katihar district #floods #Army #Rains #BiharFloods https://t…,,,Digital Disaster Response,RT| Army| Katihar| BiharFloods,"[40.2787639, -96.7472875][25.552048, 87.57186089999999][25.5832852, 85.09756569999999]"
2017-08-18 21:53:35,mamuni_ishita,RT @timesofindia: Flood fury: Toll climbs to 153 in Bihar; Army called in for rescue operations in UP https://t.co/9eN7c6Q7L1 https://t.co/…,,,"Dhaka, Bangladesh",RT| Bihar| Army| UP,NA
2017-08-18 21:49:43,EndtimeRole,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,Sydney,RT| China| India,"[25.0960742, 85.31311939999999][40.2787639, -96.7472875][35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 21:49:41,Sriniva75574980,RT @SouleFacts: Kaziranga loses over 300 animals in two waves of flood https://t.co/Dq9u9jtZr7,,,"Miami, FL",RT,
2017-08-18 21:45:45,rahulrash18,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,भारतम्,RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 21:44:15,selberan,RT @timesofindia: Flood fury: Toll climbs to 153 in Bihar; Army called in for rescue operations in UP https://t.co/9eN7c6Q7L1 https://t.co/…,,,"INDIA,KERALA,KOLLAM.",RT| Bihar| Army| UP,"[25.0960742, 85.31311939999999][40.2787639, -96.7472875][26.8467088, 80.9461592]"
2017-08-18 21:43:09,AnshuRathore99,"RT @iindrojit: With no food &amp; drinking water for days, north #Bengal flood victims lash out against govt. Ask where is the administration?…",,,"Patna, India",RT| Bengal| Ask,"[22.9867569, 87.8549755][40.7371089, -73.987892]"
2017-08-18 21:41:09,abhi_aviers,Sign this Petition. https://t.co/OosZNOJi5j via @ChangeOrg_India,,,India,Sign,"[40.737157, -111.9722395]"
2017-08-18 21:40:27,beingriazshq,RT @BajpayeeManoj: devastating flood situation in west champaran bihar.our village is badly affected.people are running short of daily supp…,,,,RT,
2017-08-18 21:40:03,shaanSAY,"What about the flood affected people of Assam, Bihar, West Bengal? https://t.co/iAm6KYz31S",,,Mumbai,Assam| Bihar| West Bengal,"[26.2006043, 92.9375739][25.0960742, 85.31311939999999][22.9867569, 87.8549755]"
2017-08-18 21:38:55,roohanitaakath,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,Everywhere,RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 21:35:11,Dushi9890,RT @ImranHSarker: More than 3 millions people under water in Bangladesh. I am being attacked by rulers for raising voice for flood victims.…,,,"Bengaluru, India",RT| Bangladesh,"[23.684994, 90.356331]"
2017-08-18 21:34:03,msarkaramar,Still there Flood,,,Multi ,,[]
2017-08-18 21:33:41,Arif71du,RT @obaidulquader: Dinajpur Seriously Effected severe Flood 18-08-2017 https://t.co/81l2vL0A5T,,,"Dhaka, Bangladesh",RT,
2017-08-18 21:33:18,SSinha_NY,"RT @anandrai177: Tomorrow (Saturday 19 Aug), there's a call for protest at Bihar Bhawan at 1pm against govt neglect of flood affected peopl…",,,"California, USA",RT| Bihar Bhawan,"[28.600328, 77.197058]"
2017-08-18 21:32:48,Kalyan_Pub,#Kaziranga billegerenting #flood. More than 150 #animal #dead and counting. And the world is encompassed in shitty politics.. #Shame.,,,"New Delhi, India",,[]
2017-08-18 21:30:35,IqbalMahmud71,RT @ImranHSarker: More than 3 millions people under water in Bangladesh. I am being attacked by rulers for raising voice for flood victims.…,,,ksa,RT| Bangladesh,"[23.684994, 90.356331]"
2017-08-18 21:29:23,NewsAssam,Slight improvement in State flood scene - Assam Tribune https://t.co/EWtvsiLYWp #Guwahati #Assam #AssamTribune,,,"Guwahati, Assam",Slight| State| Assam Tribune,"[39.657942, -79.97169][35.2985959, -80.74074209999999][27.4684518, 94.9019129]"
2017-08-18 21:26:54,Rajan_Anand_82,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,"Patna, India",RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 21:26:51,d33p_crj,"RT @sardesairajdeep: My top story: Bridges collapse under flood waters in Bihar; more than 300 killed between Bihar, Bengal and UP.. shocki…",,,,#,
2017-08-18 21:26:33,rubusmubu,"RT @BadruddinAjmal: Visiting the Flood affected areas of South Salmara LAC. Relief materials are also being distributed.
#AssamFloods https…",,,"Abu Dhabi, UAE",RT| Flood| South Salmara| Relief,"[37.2923509, -78.73277999999999][25.8752806, 90.00918089999999][35.6519187, -91.7246856]"
2017-08-18 21:26:11,mzimba_deetta,RT @ImranHSarker: More than 3 millions people under water in Bangladesh. I am being attacked by rulers for raising voice for flood victims.…,,,,RT| Bangladesh,"[23.684994, 90.356331]"
2017-08-18 21:26:04,ramonadavidso14,RT @ImranHSarker: More than 3 millions people under water in Bangladesh. I am being attacked by rulers for raising voice for flood victims.…,,,,RT| Bangladesh,"[23.684994, 90.356331]"
2017-08-18 21:25:45,arlawestwood141,RT @ImranHSarker: More than 3 millions people under water in Bangladesh. I am being attacked by rulers for raising voice for flood victims.…,,,,RT| Bangladesh,"[23.684994, 90.356331]"
2017-08-18 21:25:12,IqbalMahmud71,RT @dailystarnews: Over 4 million people marooned as flood inundates 35 percent of #Bangladesh https://t.co/tayppbjyUG,,,ksa,RT,
2017-08-18 21:25:04,janetsantos2263,RT @ImranHSarker: More than 3 millions people under water in Bangladesh. I am being attacked by rulers for raising voice for flood victims.…,,,,RT| Bangladesh,"[23.684994, 90.356331]"
2017-08-18 21:24:46,chetanbadgujar,RT @Chellaney: A 2014 pact obligates China to sell India flood-related hydrological data from May 15 to Oct. 15 every year. But in 2017 no…,,,"Indore, India",RT| China| India,"[35.86166, 104.195397][20.593684, 78.96288]"
2017-08-18 21:24:42,Szody2082,RT @ImranHSarker: More than 3 millions people under water in Bangladesh. I am being attacked by rulers for raising voice for flood victims.…,,,,RT| Bangladesh,"[23.684994, 90.356331]"
2017-08-18 21:24:41,MartaBernetta,RT @ImranHSarker: More than 3 millions people under water in Bangladesh. I am being attacked by rulers for raising voice for flood victims.…,,,,RT| Bangladesh,"[23.684994, 90.356331]"
2017-08-18 21:24:08,shera_castilla,RT @ImranHSarker: More than 3 millions people under water in Bangladesh. I am being attacked by rulers for raising voice for flood victims.…,,,,RT| Bangladesh,"[23.684994, 90.356331]"
