created-at,username,text,extr-places,extr-latlon
2017-07-24 12:20:45,tintoiyafiroj,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:20:17,Infonarmada,RT @CMOGuj: Guj CM announces the postponement of Narmada Mahotsav &amp; Ahmedabad Heritage Mahotsav owing to heavy rains &amp; flood-like situation…,RT| Narmada Mahotsav| Ahmedabad Heritage Mahotsav,[][]
2017-07-24 12:20:07,darshan9raj,RT @CMO_Gujarat: Hon. CM Gujarat @vijayrupanibjp himself reviews the flood situation of Banaskantha District along with Min. @BhupendraSinh…,#,
2017-07-24 12:19:55,shaileshmishra,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][]
2017-07-24 12:18:54,YouthOfRajastha,"RT @ashokgehlot51: Flood like situation in many parts of #Rajasthan including Jalore is worrying. 
https://t.co/ARwt6SkDrQ",RT| Jalore,[]
2017-07-24 12:18:40,isumitksinha,"Not a flood situation in Bengal, says Mamata https://t.co/hyyP3SCU0y #otherstates",Bengal| Mamata,[][]
2017-07-24 12:18:15,Arpit_151,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][]
2017-07-24 12:17:54,KapadiyaPavan,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:17:36,pr001864,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:17:36,kp2766479,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:17:36,hp6833987,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,NA
2017-07-24 12:17:36,shilpaparmar445,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,NA
2017-07-24 12:17:36,crao1504,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:17:36,patelakta1,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:17:36,pkamini936,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:17:36,latikas573,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:17:36,ishaprajpati1,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:17:36,falguni269,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:17:14,SMKuIYAhwsPG7pw,"RT @INCGujarat: GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",RT| GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:17:12,haflongfohp,RT @official_dgar: 32 AR/IGAR (N) continued to reach out flood victims &amp; provided meal  in flood relief camp at Govt Middle School Ekhoyan…,RT| Govt Middle School,[]
2017-07-24 12:16:56,sanghaviharsh,RT @CMO_Gujarat: Hon. CM Gujarat @vijayrupanibjp himself reviews the flood situation of Banaskantha District along with Min. @BhupendraSinh…,#,
2017-07-24 12:16:55,sanghaviharsh,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][]
2017-07-24 12:16:28,mondalpintu1212,West Bengal is now going to fight Flood in some vast areas😭😭😭😭,West Bengal| Flood,[][]
2017-07-24 12:16:20,jsjaspal05,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][]
2017-07-24 12:16:11,NEPABUZZ1,RT stefanowx: FLOOD REPORTS THIS MORNING https://t.co/MUI0BpjxPX #NEPA #NEPABuzz,RT| FLOOD| REPORTS| NEPABuzz,[][][]
2017-07-24 12:15:56,INCGujarat,"GPCC President Bharatsinh Solanki On Flood situation ....
Control room activated at GPCC https://t.co/vNwJ7d59X8",GPCC| Bharatsinh Solanki| Flood| GPCC,[][][][]
2017-07-24 12:15:43,RakeshRBag,RT @vijayrupanibjp: Visited State Control Room at Gandhinagar &amp; reviewed the flood situation. Satisfied with the overall preparedness of th…,RT| Gandhinagar,[]
2017-07-24 12:15:32,RakeshRBag,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][]
2017-07-24 12:15:11,awesomehingu,"RT @swativashishtha: Flood like situation in villages of Pali,Sirohi &amp; Jalore-Rajasthan &amp; Banaskantha-Gujarat. 4 IAF choppers carrying out…",RT| Pali| Sirohi,[][]
2017-07-24 12:15:02,Mehul09449277,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][]
2017-07-24 12:14:56,AjeetHbc,#Flood  situation in   #Jalore  #Rajasthan  #Army  called for relief . #Government   has set up #helicopter   to… https://t.co/HFcsVbrPtX,Army,[]
2017-07-24 12:14:45,Mehul09449277,RT @CMO_Gujarat: Hon. CM Gujarat @vijayrupanibjp himself reviews the flood situation of Banaskantha District along with Min. @BhupendraSinh…,#,
2017-07-24 12:14:45,BanajiRajput,"RT @ashokgehlot51: Flood like situation in many parts of #Rajasthan including Jalore is worrying. 
https://t.co/ARwt6SkDrQ",RT| Jalore,[]
2017-07-24 12:14:37,Mehul09449277,RT @CMO_Gujarat: RT vijayrupanibjp: Visited State Control Room at Gandhinagar &amp; reviewed the flood situation. Satisfied with the ov… https:…,RT| Gandhinagar,[]
2017-07-24 12:14:10,ndmaindia,#GujaratFloods:14 tehsils are affected by flood.,,[]
2017-07-24 12:14:07,Kushsoni,RT @CollectorGodhra: H'ble GujCM announces the postponement of Maa Narmada Mahotsav owing to heavy rains &amp; flood-like situation in Gujarat.…,RT| GujCM| Maa Narmada Mahotsav,[][]
2017-07-24 12:14:02,Mehul09449277,"RT @CMO_Gujarat: RT vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/Up7OBMc…",#,
2017-07-24 12:13:36,julfick_ahmed,"RT @tarun_gogoi: Addressing a Press Conference on Assam Flood,CAG report on Defense, Brahmaputra dredging &amp; no fund from GOI to Assam durin…",RT| Assam Flood| CAG| Brahmaputra| GOI| Assam,[][][][][]
2017-07-24 12:13:35,Mehul09449277,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",RT,
2017-07-24 12:13:30,gynec,"RT @goonj: #rahatfloods
Reach relief material &amp; monetary contributions for the flood affected across India at Goonj's centers-https://t.co/…",RT| India| Goonj,[][]
2017-07-24 12:13:07,CollectorGodhra,H'ble GujCM announces the postponement of Maa Narmada Mahotsav owing to heavy rains &amp; flood-like situation in Gujar… https://t.co/4a9CsiaUk7,GujCM| Maa Narmada Mahotsav,[][]
2017-07-24 12:13:01,nehasinghjazz,"RT @goonj: #rahatfloods
Reach relief material &amp; monetary contributions for the flood affected across India at Goonj's centers-https://t.co/…",RT| India| Goonj,[][]
2017-07-24 12:11:47,sandeepGoonj,"RT @goonj: #rahatfloods
Reach relief material &amp; monetary contributions for the flood affected across India at Goonj's centers-https://t.co/…",RT| India| Goonj,[][]
2017-07-24 12:11:16,NEPABUZZ1,"Bradford and Susquehanna Counties still under flood advisories until 10:15 am. Don't drive through standing water,… …",Bradford| Susquehanna Counties,NA
2017-07-24 12:10:00,GorYash,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][][]
2017-07-24 12:09:57,BasuRanu,RT @wti_org_india: Watch our team #CWRC rescue &amp; release #flood affected #wildlife #BackToTheWild #NEFloods2017 #Kaziranga #Assam @vivek4wi…,RT| CWRC| Assam,[][]
2017-07-24 12:09:52,VijayGo85865290,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][]
2017-07-24 12:09:51,goonj,"#rahatfloods
Reach relief material &amp; monetary contributions for the flood affected across India at Goonj's centers-… https://t.co/p8lrudZ0n1",India| Goonj,[][]
2017-07-24 12:09:39,gujar_balram,"RT @ashokgehlot51: Flood like situation in many parts of #Rajasthan including Jalore is worrying. 
https://t.co/ARwt6SkDrQ",RT| Jalore,[]
2017-07-24 12:09:09,mkaswala,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][]
2017-07-24 12:09:08,samarjeetrathor,RT @vijayrupanibjp: Visited State Control Room at Gandhinagar &amp; reviewed the flood situation. Satisfied with the overall preparedness of th…,RT| Gandhinagar,[]
2017-07-24 12:08:47,mahiti_bvn,RT @CMOGuj: Guj CM announces the postponement of Narmada Mahotsav &amp; Ahmedabad Heritage Mahotsav owing to heavy rains &amp; flood-like situation…,RT| Narmada Mahotsav| Ahmedabad Heritage Mahotsav,[][]
2017-07-24 12:08:31,RakeshRBag,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 12:08:31,dhiren1305,RT @deeptidange: Good technic to save life in flood..Must watch https://t.co/tn56ufcOeI,RT,
2017-07-24 12:08:20,AshokYa73720746,"RT @ashokgehlot51: Flood like situation in many parts of #Rajasthan including Jalore is worrying. 
https://t.co/ARwt6SkDrQ",RT| Jalore,[]
2017-07-24 12:08:18,dhiren1305,RT @CMOGuj: Guj CM announces the postponement of Narmada Mahotsav &amp; Ahmedabad Heritage Mahotsav owing to heavy rains &amp; flood-like situation…,RT| Narmada Mahotsav| Ahmedabad Heritage Mahotsav,[][]
2017-07-24 12:08:02,hetavpatidar16,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",RT,
2017-07-24 12:07:52,VtvGujarati,#Monsoon2017 #GujaratFloods #Mehsana: Unjha APMC Chairman urges to send Food packages to flood affected in #banaskantha @isudan_gadhvi,Food,[]
2017-07-24 12:06:52,TamalDas8,"2 of the 6 Congress MPs are from Assam, would be happy if they debate on dangerous flood situation in Assam where 1 Lacs are affected.",Assam| Assam,[][]
2017-07-24 12:05:54,virmaram,RT @gopimaniar: CM @vijayrupanibjp reach Palanpur to review flood situation of Banaskantha https://t.co/Ldke5xCqTH,RT| Palanpur| Banaskantha,[][]
2017-07-24 12:05:52,CharansharanT,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 12:05:47,desaipranjal,RT @CMO_Gujarat: The state administration is ready to tackle the flood-like situation caused by heavy rains in the state https://t.co/MDN0e…,RT,
2017-07-24 12:04:16,sanghaviharsh,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,NA
2017-07-24 12:03:51,ChaudharyDixit5,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",RT,
2017-07-24 12:02:55,banerji1,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 12:02:19,dilipkumar_bjp,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][]
2017-07-24 12:02:17,dilipkumar_bjp,RT @vijayrupanibjp: Visited State Control Room at Gandhinagar &amp; reviewed the flood situation. Satisfied with the overall preparedness of th…,RT| Gandhinagar,[]
2017-07-24 12:01:54,AkramShahBJP,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",RT,
2017-07-24 12:01:51,AkramShahBJP,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 12:01:46,Manish12Parmar,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 12:01:43,Manish12Parmar,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",RT,
2017-07-24 12:01:34,neelpatelmukhi,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 12:01:27,kanchi_mehra,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",RT,
2017-07-24 12:01:23,kanchi_mehra,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 12:01:07,pranav_patel123,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 12:01:03,pranav_patel123,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",RT,
2017-07-24 12:01:00,SuperDuperAbir,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/SX9nUafqAn",Rajasthan,[]
2017-07-24 12:00:58,SubrataDhoni,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/KhTnqGxq3Q",Rajasthan,[]
2017-07-24 12:00:57,RaviRathodKumar,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/MfYRxPsKUI",Rajasthan,[]
2017-07-24 12:00:57,AkramShahBJP,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][]
2017-07-24 12:00:55,TheNorthindianC,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/6J1CsFocef",Rajasthan,[]
2017-07-24 12:00:54,chavipatankarr,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/Nu4a3jsZUB",Rajasthan,[]
2017-07-24 12:00:54,ConfusedTravelr,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/FBZWAY8jYY",Rajasthan,[]
2017-07-24 12:00:53,ParnaDixit,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/9qfZUAu0Le",Rajasthan,[]
2017-07-24 12:00:53,PankajLeleSRT,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/tKAZkCUfo7",Rajasthan,[]
2017-07-24 12:00:52,MerinaDDK,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/VbnDawPBLv",Rajasthan,[]
2017-07-24 12:00:52,MSKripa,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/mauh3E5A7m",Rajasthan,[]
2017-07-24 12:00:51,KaruneshShetty,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/fyxpCVDSpm",Rajasthan,[]
2017-07-24 12:00:51,ItsmeRaniLamba,"Flood-Like Situation In Rajasthan, Two Washed Away https://t.co/BSQcYPAbQY",Rajasthan,[]
2017-07-24 12:00:48,deepak156704519,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",RT,
2017-07-24 12:00:45,0N4B4hfFHNKu3x9,RT @ChaudharyDixit5: @ChaudhryShankar sir review flood situation of Banaskantha.! https://t.co/9ZiaxozkDb,RT| ChaudhryShankar| Banaskantha,[][]
2017-07-24 12:00:45,deepak156704519,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 12:00:42,priyasha_88,RT @CMOGuj: Guj CM announces the postponement of Narmada Mahotsav &amp; Ahmedabad Heritage Mahotsav owing to heavy rains &amp; flood-like situation…,RT| Narmada Mahotsav| Ahmedabad Heritage Mahotsav,[][]
2017-07-24 12:00:27,PulkitTrivedi,RT @iPankajShukla: Rescue operation by #NDRF team in flood affected area. https://t.co/zyrqoXWtMZ,RT| NDRF,[]
2017-07-24 12:00:16,Shah2016Aashish,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 12:00:13,Shah2016Aashish,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",RT,
2017-07-24 12:00:12,priyasha_88,RT @deeptidange: Good technic to save life in flood..Must watch https://t.co/tn56ufcOeI,RT,
2017-07-24 12:00:04,FecosLED,"600 Watt COB flood light, total luminous flux 72.000 lumen &amp; beam angle of 45 degrees. Die cast aluminum housing's… https://t.co/uMdNbGz9Zd",Die,[]
2017-07-24 12:00:00,rahulpa16260361,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 11:59:58,SkymetWeather,"The only hill station of #Rajasthan, #MountAbu is also reeling under incessant rains. https://t.co/JSZUgIKvp4",MountAbu,[]
2017-07-24 11:59:51,rahulpa16260361,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",RT,
2017-07-24 11:59:38,kumardhanak,"RT @DeshGujarat: Holiday in schools in Banaskantha after heavy rain, water released from Sipu, flood alert in downstream villages https://t…",RT| Banaskantha| Sipu,[][]
2017-07-24 11:59:35,AkramShahBJP,RT @vijayrupanibjp: Visited State Control Room at Gandhinagar &amp; reviewed the flood situation. Satisfied with the overall preparedness of th…,RT| Gandhinagar,[]
2017-07-24 11:59:02,jeet_bee,RT @pradipsinhbjp: From Aerial Survey to high level meeting with Admin. He is undertaking every minute stock of Flood Situation of Gujarat.…,RT| Aerial Survey| Admin| Flood Situation,[][][]
2017-07-24 11:58:59,NewsroomPostCom,Gujarat CM @vijayrupanibjp reviews the flood control measures at Dessa in Banaskantha district. https://t.co/rWKq28EpHg,Gujarat CM| Dessa| Banaskantha,[][][]
2017-07-24 11:58:58,mahitiahmedabad,"RT @vijayrupanibjp: At Deesa, to personally review the flood control measures in Banaskantha district. https://t.co/gZwEZHYv4H",RT| Deesa| Banaskantha,[][]
2017-07-24 11:58:49,jeet_bee,"RT @pradipsinhbjp: CM @vijayrupanibjp ji is taking every step to help the people, From last 24 hours he is working tirelessly to review the…",RT,
2017-07-24 11:58:47,SagarKhasor,RT @gopimaniar: Minister @ChaudhryShankar review flood situation at #Banaskantha https://t.co/2vAR6seSPx,RT,
2017-07-24 11:58:39,karan46377,"RT @DeshGujarat: In picture: Rupani, Chudasama, Chaudhary holding a meeting on flood-like situation in Banaskantha with district administra…",RT| Chudasama| Banaskantha,[][]
2017-07-24 11:58:32,SSAABRAN,"RT @rachitseth: Fasal Bima Yojana to Railway Food,From Shortage of Ammunition to 60% Cut in Assam Flood Relief, CAG flays Modi Govt https:/…",RT| Railway Food| From Shortage| Assam Flood Relief| CAG| Modi Govt,[][][][][]
