created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-08-31 23:31:06,naansens3,RT @mukarramr7: The richest municipal corporation #bmc and this is what mumbai and its ppl have to go thru #MumbaiRains #MumbaiFlooded #Mum…,,,,RT,
2017-08-31 23:27:09,cbirupatel,RT @republic: Watch: Republic TV's Editor-in chief Arnab Goswami reports live on #MumbaiFlooded #MumbaiRains https://t.co/GI6L96mDbM,,,"Illinois, USA",RT| Arnab Goswami| MumbaiRains,"[26.1622553,91.7674486][19.166943,72.833383]"
2017-08-31 21:10:11,tridip66,"RT @Wassup_Mumbai: When Mumbai Rains turned Mulund Station into Niagara Falls 
#MumbaiFlooded #MumbaiRains https://t.co/DP9yYESIIh",,,"East Lansing, MI",RT| Mumbai Rains| Mulund Station| Niagara Falls| MumbaiRains,"[19.166943,72.833383][19.1565109,72.9637728][43.0962143,-79.0377388][19.166943,72.833383]"
2017-08-31 20:49:44,bhanuprakashyv,"RT @anupjalota: #BiharFloods #AssamFloods #MumbaiFlooded &amp; so on
Nw #RallyForRivers isnt jst campaign, bt need of the hr.
RT fr nature!
Mis…",,,"yalanadu,INDIA",#,
2017-08-31 20:40:21,Sudame_Onkar,"RT @kamleshsutar: #GSB Ganesh Mandal makes arrangements for food for ppl stuck in rains. 
#MumbaiRains
#MumbaiDeluge 
#SpiritofMumbai 
#Mum…",,,,RT| GSB Ganesh Mandal,"[19.047323,72.869]"
2017-08-31 19:53:55,button_cousins,"Button Cousins
#buttoncousins #EveryKaamchorEmployee #MEMES #funnymemes #MumbaiRains #MumbaiFlooded #Mumbai… https://t.co/HBvM4WScWu",,"[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]","Mumbai, India",Button Cousins,[]
2017-08-31 19:26:14,Vijaylaxmi14,"RT @Wassup_Mumbai: Why would Mumbaikars go to Venice, Italy when they can have the same fun in Mumbai Rains! #MumbaiRains #MumbaiFlooded ht…",,,"Mumbai, India",RT| Venice| Italy| Mumbai Rains| MumbaiFlooded,"[45.4408474, 12.3155151][][19.166943,72.833383][]"
2017-08-31 19:26:10,Vijaylaxmi14,RT @Wassup_Mumbai: Mumbaikars love Bappa. We saw Ganpati Visarjan inspite of heavy rains on the 5th day of Ganesh Utsav #MumbaiRains #Mumba…,,,"Mumbai, India",RT| Bappa| Ganpati Visarjan| Ganesh Utsav,"[43.315612,45.683067][19.2081837,73.1069838][48.148328, 17.109339]"
2017-08-31 19:25:51,Vijaylaxmi14,RT @Wassup_Mumbai: Love the Spirit of Mumbai. Policemen giving more than 100% &amp; citizens coming forward to offer food and shelter.  #Mumbai…,,,"Mumbai, India",#,
2017-08-31 19:25:47,Vijaylaxmi14,"RT @Wassup_Mumbai: When Mumbai Rains turned Mulund Station into Niagara Falls 
#MumbaiFlooded #MumbaiRains https://t.co/DP9yYESIIh",,,"Mumbai, India",RT| Mumbai Rains| Mulund Station| Niagara Falls| MumbaiRains,"[19.166943,72.833383][19.1565109,72.9637728][43.0962143,-79.0377388][19.166943,72.833383]"
2017-08-31 19:20:43,busybee110,"RT @Wassup_Mumbai: When Mumbai Rains turned Mulund Station into Niagara Falls 
#MumbaiFlooded #MumbaiRains https://t.co/DP9yYESIIh",,,London,RT| Mumbai Rains| Mulund Station| Niagara Falls| MumbaiRains,"[19.166943,72.833383][19.1565109,72.9637728][43.0962143,-79.0377388][19.166943,72.833383]"
2017-08-31 19:16:19,redpollard,"RT @Wassup_Mumbai: When Mumbai Rains turned Mulund Station into Niagara Falls 
#MumbaiFlooded #MumbaiRains https://t.co/DP9yYESIIh",,,London,RT| Mumbai Rains| Mulund Station| Niagara Falls| MumbaiRains,"[19.166943,72.833383][19.1565109,72.9637728][43.0962143,-79.0377388][19.166943,72.833383]"
2017-08-31 18:52:52,RohitSharmaINC,RT @satyajeettambe: #MumbaiFlooded is a classic example of wrong urban development. It's time for Mumbaikars loose patience &amp; ask questions…,,,"Jamshedpur, India",RT| MumbaiFlooded| Mumbaikars,"[][25.2358008,55.3074523]"
2017-08-31 18:51:36,ffaaiizzuu,"RT @princeesinghh: #bhendibazar #buildingcollapse #MumbaiBuildingCollapse #Tragedy 
May god rest their soul in peace 😢 
#MumbaiFlooded",,,Mumbai ,RT| Tragedy,"[38.6394496,-120.1469725]"
2017-08-31 18:45:12,yashbha31648241,RT @isalilsand: The sprit of #MumbaiPolice and #Mumbaikars. #MumbaiRains #MumbaiFlooded @MumbaiPolice https://t.co/X4WxUX8CbN,,,Jhansi,RT| MumbaiFlooded,[]
2017-08-31 18:41:41,jigar_sitapara,"RT @yamini109: No tweets from #SidharthMalhotra for #Mumbaikars to be safe , swim 2 reach pvr n watch #AGentleman . #RainHosts #MumbaiRains…",,,"Kutch, Gujrat, India",RT| AGentleman,"[32.6596426,-96.8774408]"
2017-08-31 18:36:28,akshu007,RT @manasi87: An excellent analysis of why #Mumbai is still incapable of dealing with heavy rain https://t.co/pO8Z3cdb9N #MumbaiRains #Mumb…,,,"Mumbai, Maharashtra",RT| Mumbai,"[19.0759837,72.8776559]"
2017-08-31 18:31:35,arviforever22,RT @isalilsand: The sprit of #MumbaiPolice and #Mumbaikars. #MumbaiRains #MumbaiFlooded @MumbaiPolice https://t.co/X4WxUX8CbN,,,India,RT| MumbaiFlooded,[]
2017-08-31 18:22:37,AhatshamAnsari,RT @URautelaForever: #Mumbaikars please help your 4 legged friends get through this weather by providing food &amp; shelter! #MumbaiFlooded #Mu…,,,"Kota, India",RT,
2017-08-31 18:17:40,prithvipatel,"RT @Wassup_Mumbai: When Mumbai Rains turned Mulund Station into Niagara Falls 
#MumbaiFlooded #MumbaiRains https://t.co/DP9yYESIIh",,,India,RT| Mumbai Rains| Mulund Station| Niagara Falls| MumbaiRains,"[19.166943,72.833383][19.1565109,72.9637728][43.0962143,-79.0377388][19.166943,72.833383]"
2017-08-31 18:11:25,MeeNik,@dominos_india @mcdonaldsindia @KFC_India public want an answer #MumbaiRains #MumbaiFlooded https://t.co/1zrSAXh2ff,,,Mumbai,MumbaiFlooded,[]
2017-08-31 17:54:35,Damini_metkar,"#DrAmrapurkar death is so disturbing. #BMC what the hell are you doing??
#ShivSena #BJP #MumbaiRains #MumbaiFlooded",,,"Nashik, India",DrAmrapurkar| ShivSena,"[18.9457243, 72.82376049999999][19.2868401,72.871266]"
2017-08-31 17:52:58,ravsd88,RT @republic: Watch: Republic TV's Editor-in chief Arnab Goswami reports live on #MumbaiFlooded #MumbaiRains https://t.co/GI6L96mDbM,,,,RT| Arnab Goswami| MumbaiRains,"[26.1622553,91.7674486][19.166943,72.833383]"
2017-08-31 17:52:21,the_shambhavi,RT @isalilsand: The sprit of #MumbaiPolice and #Mumbaikars. #MumbaiRains #MumbaiFlooded @MumbaiPolice https://t.co/X4WxUX8CbN,,,"Mumbai,INDIA",RT| MumbaiFlooded,[]
2017-08-31 17:50:10,Purist3,RT @manasi87: An excellent analysis of why #Mumbai is still incapable of dealing with heavy rain https://t.co/pO8Z3cdb9N #MumbaiRains #Mumb…,,,Gurgaon,RT| Mumbai,"[19.0759837,72.8776559]"
2017-08-31 17:49:35,shanthann,"RT @Wassup_Mumbai: When Mumbai Rains turned Mulund Station into Niagara Falls 
#MumbaiFlooded #MumbaiRains https://t.co/DP9yYESIIh",,,,RT| Mumbai Rains| Mulund Station| Niagara Falls| MumbaiRains,"[19.166943,72.833383][19.1565109,72.9637728][43.0962143,-79.0377388][19.166943,72.833383]"
2017-08-31 17:37:35,abhilashbTOI,Den why @ShivSena has been asked to carry out health camps in #MumbaiFlooded. Or @uddhavthackeray la BMC var… https://t.co/UpQxILTZrB,,,"Nashik, Maharashtra",Den| ShivSena| BMC,"[39.8560963, -104.6737376][19.2868401,72.871266][47.5547719,-122.0424711]"
