created-at,username,text,geo-loc,place-bbox,usr-loc,extr-places,extr-latlon
2017-07-25 23:59:31,saaxenanurag,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,New Delhi,#,
2017-07-25 23:58:01,Tuhin73281202,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,"Sunamgonj,Dhaka, Bangladesh",#,
2017-07-25 23:57:56,Tuhin73281202,"RT @narendramodi: In Gujarat, I also conducted an aerial survey of flood affected areas. https://t.co/l2RgNa6AXe https://t.co/x8ofi9qOYP",,,"Sunamgonj,Dhaka, Bangladesh",RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:57:35,aimar09,"RT @tarun_gogoi: #AssamFloods claimed 76 lives, @narendramodi never visited &amp; his Govt has not released adequate funds for Assam../2

https…",,,"Assam, India",RT| AssamFloods,"[26.1326798,91.8069753]"
2017-07-25 23:57:02,wadhwani_sanjay,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,India,#,
2017-07-25 23:55:15,bhainskipooonch,"RT @IAF_MCC: #savinglives: IAF #MI17Chopper winches a person clinging onto an electric pole, amidst gushing flood water to safety #GujratFl…",,,"Berlin, Deutschland",RT| MI17Chopper,"[42.3468816,-83.4542225]"
2017-07-25 23:55:10,shailretail,"RT @narendramodi: In Gujarat, I also conducted an aerial survey of flood affected areas. https://t.co/l2RgNa6AXe https://t.co/x8ofi9qOYP",,,"Bhopal, India",RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:54:57,shailretail,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,"Bhopal, India",#,
2017-07-25 23:54:48,SankaPadma,"RT @narendramodi: In Gujarat, I also conducted an aerial survey of flood affected areas. https://t.co/l2RgNa6AXe https://t.co/x8ofi9qOYP",,,,RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:54:04,MainAamAdmiHoon,"RT @IAF_MCC: #savinglives: IAF #MI17Chopper winches a person clinging onto an electric pole, amidst gushing flood water to safety #GujratFl…",,,India,RT| MI17Chopper,"[42.3468816,-83.4542225]"
2017-07-25 23:54:01,Paramje99851005,RT @saloniradhainsa: @Gurmeetramrahim @derasachasauda This is very thoughtful of you Almighty. I too pray for well being of flood victims a…,,,Ghanauri Kalan,RT| Gurmeetramrahim,"[25.2224674, 75.837054]"
2017-07-25 23:53:56,telangana_watch,"RT @TOIIndiaNews: IAF keeps 20 aircraft ready to step up relief, rescue operations in flood-hit Gujarat https://t.co/tAbByPk2UB",,,,RT,
2017-07-25 23:53:34,telangana_watch,"RT @TOIIndiaNews: Flood fury in Gujarat, Rajasthan; situation improves in Assam https://t.co/ZY4rp8YEZW",,,,RT| Gujarat| Rajasthan| Assam,"[22.258652,71.1923805][27.0238036,74.2179326][26.2006043,92.9375739]"
2017-07-25 23:53:16,Paramje99851005,RT @softness_alert: @Gurmeetramrahim @derasachasauda Sad to hear the news of flood in Gujarat and rajasthan . Bless them guruji . @derasach…,,,Ghanauri Kalan,#,
2017-07-25 23:52:00,aimar09,RT @northeastblog: Will there be similar announcements for flood victims of Assam? Pls provide similar relief to flood victims of Assam @na…,,,"Assam, India",RT| Assam| Assam,"[26.2006043,92.9375739][26.2006043,92.9375739]"
2017-07-25 23:51:00,Pehledesh,Just to divert attention from flood disaster in Assam &amp; Gujarat. @sanjayuvacha @bainjal @samjawed65  @PreetiSMenon… https://t.co/LVm1HS7z93,,,Mumbai,Assam,"[26.2006043,92.9375739]"
2017-07-25 23:50:55,santosh39478064,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,"Bhopal, India",#,
2017-07-25 23:50:51,santosh39478064,"RT @narendramodi: In Gujarat, I also conducted an aerial survey of flood affected areas. https://t.co/l2RgNa6AXe https://t.co/x8ofi9qOYP",,,"Bhopal, India",RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:49:11,Rakesh39151,"RT @PMOIndia: While reviewing the situation, I could see the Government of Gujarat responded to the flood situation quite swiftly: PM @nare…",,,"New Delhi, India",RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:48:58,rahulrastogi72,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,"Gurgaon, India",#,
2017-07-25 23:48:44,rahulrastogi72,"RT @narendramodi: In Gujarat, I also conducted an aerial survey of flood affected areas. https://t.co/l2RgNa6AXe https://t.co/x8ofi9qOYP",,,"Gurgaon, India",RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:48:13,AnkitSomvanshi5,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,"Hardoi, India",#,
2017-07-25 23:46:44,Rakesh39151,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,"New Delhi, India",#,
2017-07-25 23:46:20,abhi9582146699,"RT @narendramodi: In Gujarat, I also conducted an aerial survey of flood affected areas. https://t.co/l2RgNa6AXe https://t.co/x8ofi9qOYP",,,,RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:42:35,vishal_vk,"RT @IAF_MCC: #savinglives: IAF #MI17Chopper winches a person clinging onto an electric pole, amidst gushing flood water to safety #GujratFl…",,,,RT| MI17Chopper,"[42.3468816,-83.4542225]"
2017-07-25 23:42:16,Luck_man_patat,"RT @narendramodi: In Gujarat, I also conducted an aerial survey of flood affected areas. https://t.co/l2RgNa6AXe https://t.co/x8ofi9qOYP",,,Ahmedabad,RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:42:13,Luck_man_patat,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,Ahmedabad,#,
2017-07-25 23:42:10,hindustanse,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,,#,
2017-07-25 23:42:07,hindustanse,"RT @narendramodi: In Gujarat, I also conducted an aerial survey of flood affected areas. https://t.co/l2RgNa6AXe https://t.co/x8ofi9qOYP",,,,RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:40:58,bkg4,RT @sardesairajdeep: First rate prompt action by Centre on Gujarat floods; now Assam and other flood hit regions await. Many parts of count…,,,"Kushinagar, Hyderabad",RT| Centre| Assam,"[32.8374242,-96.7772491][26.2006043,92.9375739]"
2017-07-25 23:38:40,mkpandey67,@sardesairajdeep Feel pity 4 your comment. Flood is a regular phenomenon for assam but not for gujarat / rajsthan.… https://t.co/zN6tXlibHY,,,"Greater Noida, India",Flood,"[37.2923509,-78.73278]"
2017-07-25 23:37:39,sanjeev061970,RT @PMOIndia: The Prime Minister took stock of the flood situation in parts of Gujarat. https://t.co/zuRAyxCFdY,,,New Delhi,RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:37:01,JaatShonki,RT @saloniradhainsa: @Gurmeetramrahim @derasachasauda This is very thoughtful of you Almighty. I too pray for well being of flood victims a…,,,"Panchkula, India",RT| Gurmeetramrahim,"[25.2224674, 75.837054]"
2017-07-25 23:36:50,JaatShonki,RT @softness_alert: @Gurmeetramrahim @derasachasauda Sad to hear the news of flood in Gujarat and rajasthan . Bless them guruji . @derasach…,,,"Panchkula, India",#,
2017-07-25 23:36:39,sanjeev061970,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,New Delhi,#,
2017-07-25 23:33:32,rcmathapati,"RT @airnewsalerts: #Gujarat: #RSS sends 500 SwayamSewaks for relief, rescue work in #flood hit areas of #Banaskantha, #Patan &amp; #Raghanpur.…",,,"Amritsar, India",RT| RSS,"[44.9481672,-93.0884364]"
2017-07-25 23:32:42,lalitma75616642,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,"Kota, India",#,
2017-07-25 23:32:09,lalitma75616642,"RT @narendramodi: In Gujarat, I also conducted an aerial survey of flood affected areas. https://t.co/l2RgNa6AXe https://t.co/x8ofi9qOYP",,,"Kota, India",RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:31:28,IndianGarud,"RT @IAF_MCC: #savinglives: IAF #MI17Chopper winches a person clinging onto an electric pole, amidst gushing flood water to safety #GujratFl…",,,Himalaya,RT| MI17Chopper,"[42.3468816,-83.4542225]"
2017-07-25 23:31:26,raviparekh04,"RT @IndianExpress: No respite from rain, PM Narendra Modi announces Rs 500 crore interim relief for flood-hit Gujarat https://t.co/qo7KtPtA…",,,,RT| PM Narendra Modi,[]
2017-07-25 23:31:13,TravelNonu,A Night With The #Flood #trichy https://t.co/HlYhqrNhDS,,,India,,[]
2017-07-25 23:30:46,Taniainsan9,RT @softness_alert: @Gurmeetramrahim @derasachasauda Sad to hear the news of flood in Gujarat and rajasthan . Bless them guruji . @derasach…,,,"Sirsa, Haryana",#,
2017-07-25 23:30:00,RamanKaurInsan,RT @saloniradhainsa: @Gurmeetramrahim @derasachasauda This is very thoughtful of you Almighty. I too pray for well being of flood victims a…,,,"Raisinghnagar, India",RT| Gurmeetramrahim,"[25.2224674, 75.837054]"
2017-07-25 23:28:52,RamanKaurInsan,RT @softness_alert: @Gurmeetramrahim @derasachasauda Sad to hear the news of flood in Gujarat and rajasthan . Bless them guruji . @derasach…,,,"Raisinghnagar, India",#,
2017-07-25 23:25:43,ganeshmahnar,"No respite from rain, PM Narendra Modi announces Rs 500 crore interim relief for flood-hit Gujarat
https://t.co/yebdTDVpi8",,,India,PM Narendra Modi,[]
2017-07-25 23:21:21,ShakilK22183746,"RT @timesofindia: Flood fury in Gujarat: 82 dead, 36,000 people evacuated; PM @narendramodi takes stock https://t.co/uWMb8PGR80 https://t.c…",,,"Mumbai, India",RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:20:40,Ajtnegi,RT @kmlshdbh: #WATCH: PM @narendramodi speaks on #flood in #Gujarat  https://t.co/a0x96f6s6z,,,देवभूमि उत्तराखंड∆∆,RT| WATCH,"[37.8697868,-122.300843]"
2017-07-25 23:16:25,PlaneteVivante,"RT @swativashishtha: Flood like situation in villages of Pali,Sirohi &amp; Jalore-Rajasthan &amp; Banaskantha-Gujarat. 4 IAF choppers carrying out…",,,France,RT| Pali| Sirohi,"[25.7710893,73.3234478][24.8851548,72.8574558]"
2017-07-25 23:16:17,dutt_cool,"RT @aloktiwari9335: WATCH: PM @narendramodi speaks on flood in Gujarat. https://t.co/iCmKqJNHNR
#GujaratFloods",,,melbourne,RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:14:55,ramasamy2256,"RT @narendramodi: In Gujarat, I also conducted an aerial survey of flood affected areas. https://t.co/l2RgNa6AXe https://t.co/x8ofi9qOYP",,,Kollankinar,RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:13:27,ramasamy2256,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,Kollankinar,#,
2017-07-25 23:10:49,sm_vs_msm,RT @manojdaftardar: @TrueIndology 70 yrs of Nehruvian politics has devastated India to such irreparable situation and opened the flood gate…,,,India,RT| Nehruvian| India,"[][20.593684,78.96288]"
2017-07-25 23:09:52,tweetslyk,"RT @timesofindia: Flood fury in Gujarat: 82 dead, 36,000 people evacuated; PM @narendramodi takes stock https://t.co/uWMb8PGR80 https://t.c…",,,мυмвαι ● кυωαιт,RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:09:30,jitu_vaghani,"RT @narendramodi: In Gujarat, I also conducted an aerial survey of flood affected areas. https://t.co/l2RgNa6AXe https://t.co/x8ofi9qOYP",,,"Gujarat, India",RT| Gujarat,"[22.258652,71.1923805]"
2017-07-25 23:09:27,jitu_vaghani,RT @narendramodi: Reviewed the flood situation in parts of Gujarat. Assured all possible support from Centre to deal with this situation. h…,,,"Gujarat, India",#,
2017-07-25 23:08:31,dutt_cool,"RT @IAF_MCC: #savinglives: IAF #MI17Chopper winches a person clinging onto an electric pole, amidst gushing flood water to safety #GujratFl…",,,melbourne,RT| MI17Chopper,"[42.3468816,-83.4542225]"
